timestamps,open,high,low,close,volume,amount
2020-03-09 09:35:00,9.13,9.13,8.99,9.03,23324000,210989100
2020-03-09 09:40:00,9.04,9.05,8.93,8.93,26146000,235278200
2020-03-09 09:45:00,8.92,8.95,8.86,8.9,18150000,161563200
2020-03-09 09:50:00,8.91,8.91,8.87,8.91,11477000,102090370
2020-03-09 09:55:00,8.92,8.94,8.91,8.94,7389000,65943530
2020-03-09 10:00:00,8.94,8.98,8.92,8.95,6071000,54315060
2020-03-09 10:05:00,8.96,8.96,8.92,8.92,3734000,33367000
2020-03-09 10:10:00,8.93,8.95,8.91,8.92,6254000,55851650
2020-03-09 10:15:00,8.92,8.93,8.91,8.91,2830000,25239960
2020-03-09 10:20:00,8.91,8.91,8.89,8.91,5393000,48006530
2020-03-09 10:25:00,8.91,8.93,8.9,8.92,2329000,20761730
2020-03-09 10:30:00,8.91,8.97,8.91,8.96,3075000,27477700
2020-03-09 10:35:00,8.95,8.96,8.92,8.92,2694000,24050220
2020-03-09 10:40:00,8.92,8.93,8.9,8.9,4287000,38183280
2020-03-09 10:45:00,8.9,8.9,8.86,8.87,12444000,110494060
2020-03-09 10:50:00,8.87,8.92,8.86,8.92,2720000,24153570
2020-03-09 10:55:00,8.91,8.92,8.87,8.89,2638000,23441480
2020-03-09 11:00:00,8.89,8.89,8.85,8.86,6136000,54414220
2020-03-09 11:05:00,8.85,8.88,8.84,8.87,6405000,56697300
2020-03-09 11:10:00,8.88,8.88,8.82,8.83,6088000,53813630
2020-03-09 11:15:00,8.83,8.86,8.82,8.86,1334000,11794740
2020-03-09 11:20:00,8.85,8.89,8.85,8.86,2236000,19825420
2020-03-09 11:25:00,8.86,8.89,8.85,8.86,1651000,14650590
2020-03-09 11:30:00,8.86,8.87,8.84,8.85,1720000,15221070
2020-03-09 13:05:00,8.85,8.85,8.77,8.77,10125000,89191240
2020-03-09 13:10:00,8.77,8.79,8.76,8.77,3281000,28789580
2020-03-09 13:15:00,8.77,8.78,8.76,8.77,3585000,31446090
2020-03-09 13:20:00,8.77,8.78,8.72,8.73,4997000,43727710
2020-03-09 13:25:00,8.7,8.7,8.66,8.68,14134000,122814540
2020-03-09 13:30:00,8.69,8.74,8.68,8.73,6065000,52815830
2020-03-09 13:35:00,8.72,8.75,8.71,8.73,9093000,79321850
