timestamps,open,high,low,close,volume,amount
2000-01-04 09:35:00,11.9,11.9,11.9,11.9,1200,14280
2000-01-04 09:40:00,11.9,11.9,11.9,11.9,0,0
2000-01-04 09:45:00,11.9,11.9,11.9,11.9,0,0
2000-01-04 09:50:00,11.86,11.86,11.8,11.8,1300,15351
2000-01-04 09:55:00,11.8,11.8,11.75,11.75,1700,19995
2000-01-04 10:00:00,11.78,11.8,11.75,11.75,5200,61182
2000-01-04 10:05:00,11.75,11.75,11.75,11.75,0,0
2000-01-04 10:10:00,11.8,11.8,11.8,11.8,6600,77880
2000-01-04 10:15:00,11.85,11.9,11.8,11.9,10400,123604
2000-01-04 10:20:00,11.9,11.9,11.9,11.9,3100,36890
2000-01-04 10:25:00,11.9,11.9,11.85,11.85,200,2370
2000-01-04 10:30:00,11.85,11.85,11.83,11.83,1700,20127
2000-01-04 10:35:00,11.83,11.83,11.83,11.83,1200,14226
2000-01-04 10:40:00,11.83,11.83,11.81,11.81,2400,28969
2000-01-04 10:45:00,11.81,11.82,11.81,11.82,200,2364
2000-01-04 10:50:00,11.82,11.9,11.82,11.9,15200,180788
2000-01-04 10:55:00,11.9,11.9,11.9,11.9,1100,13084
2000-01-04 11:00:00,11.88,11.88,11.87,11.87,1000,11876
2000-01-04 11:05:00,11.88,11.88,11.88,11.88,900,10692
2000-01-04 11:10:00,11.9,11.9,11.87,11.87,4900,58210
2000-01-04 11:15:00,11.87,11.87,11.85,11.86,4600,54522
2000-01-04 11:20:00,11.86,11.86,11.85,11.86,1800,21340
2000-01-04 11:25:00,11.86,11.86,11.8,11.8,2200,26012
2000-01-04 11:30:00,11.8,11.8,11.8,11.8,0,0
2000-01-04 13:05:00,11.8,11.88,11.8,11.88,13300,157815
2000-01-04 13:10:00,11.9,11.91,11.9,11.9,18200,216594
2000-01-04 13:15:00,11.91,11.96,11.91,11.96,3900,46540
2000-01-04 13:20:00,11.96,11.96,11.9,11.9,5800,69036
2000-01-04 13:25:00,11.88,11.91,11.88,11.91,9600,114208
2000-01-04 13:30:00,11.9,11.94,11.9,11.9,4600,54754
2000-01-04 13:35:00,11.9,11.95,11.9,11.9,9700,115606
2000-01-04 13:40:00,11.9,11.9,11.84,11.9,19900,236763
2000-01-04 13:45:00,11.9,11.9,11.88,11.9,45200,539286
2000-01-04 13:50:00,11.9,11.94,11.9,11.94,1200,14320
2000-01-04 13:55:00,11.94,11.94,11.94,11.94,900,10743
2000-01-04 14:00:00,11.94,11.94,11.92,11.94,2000,23858
2000-01-04 14:05:00,11.94,11.95,11.9,11.9,20800,248800
2000-01-04 14:10:00,11.94,11.94,11.8,11.8,24800,293440
2000-01-04 14:15:00,11.8,11.83,11.8,11.83,6800,80261
2000-01-04 14:20:00,11.85,11.86,11.85,11.86,2400,28459
2000-01-04 14:25:00,11.86,11.86,11.8,11.85,10200,121266
2000-01-04 14:30:00,11.85,11.85,11.85,11.85,1500,18960
2000-01-04 14:35:00,11.85,11.9,11.85,11.9,3500,42133
2000-01-04 14:40:00,11.9,11.9,11.88,11.9,8400,99922
2000-01-04 14:45:00,11.9,11.9,11.83,11.83,3900,47400
2000-01-04 14:50:00,11.83,11.9,11.83,11.9,5800,68913
2000-01-04 14:55:00,11.9,11.96,11.9,11.95,15700,188781
2000-01-04 15:00:00,11.94,11.97,11.8,11.96,38400,456937
2000-01-05 09:35:00,11.89,11.89,11.74,11.74,1000,11830
2000-01-05 09:40:00,11.74,11.75,11.7,11.7,5300,62197
2000-01-05 09:45:00,11.7,11.7,11.7,11.7,1700,19890
2000-01-05 09:50:00,11.7,11.8,11.7,11.75,4800,56415
2000-01-05 09:55:00,11.8,11.85,11.71,11.85,2200,25871
2000-01-05 10:00:00,11.8,11.85,11.72,11.75,6100,71777
2000-01-05 10:05:00,11.75,11.85,11.75,11.85,19500,229483
2000-01-05 10:10:00,11.85,11.89,11.85,11.89,38100,451208
2000-01-05 10:15:00,11.9,11.96,11.9,11.96,3600,42868
2000-01-05 10:20:00,12.0,12.0,11.96,11.96,700,8388
2000-01-05 10:25:00,11.99,12.05,11.99,12.0,1500,17996
2000-01-05 10:30:00,11.96,11.96,11.85,11.85,32700,388276
2000-01-05 10:35:00,11.85,11.95,11.85,11.95,2100,24989
2000-01-05 10:40:00,11.95,12.0,11.95,12.0,9300,111597
2000-01-05 10:45:00,12.0,12.0,11.99,11.99,2600,31196
2000-01-05 10:50:00,11.97,11.99,11.95,11.95,6400,76596
2000-01-05 10:55:00,11.95,11.95,11.9,11.9,3400,40489
2000-01-05 11:00:00,11.9,11.9,11.8,11.8,31300,370908
2000-01-05 11:05:00,11.8,11.89,11.8,11.8,32800,388437
2000-01-05 11:10:00,11.8,11.85,11.8,11.85,7000,82823
2000-01-05 11:15:00,11.85,11.89,11.84,11.86,18000,213322
2000-01-05 11:20:00,11.86,11.87,11.85,11.86,2400,28471
2000-01-05 11:25:00,11.86,11.89,11.86,11.89,800,10077
2000-01-05 11:30:00,11.89,11.92,11.89,11.92,2100,25010
2000-01-05 13:05:00,11.92,11.98,11.92,11.98,5600,66758
2000-01-05 13:10:00,11.98,11.99,11.98,11.98,4200,50344
2000-01-05 13:15:00,11.98,11.99,11.9,11.9,16500,196834
2000-01-05 13:20:00,11.85,11.95,11.85,11.95,17500,207648
2000-01-05 13:25:00,11.95,11.99,11.95,11.99,4600,55134
2000-01-05 13:30:00,12.0,12.0,11.98,11.98,1400,16782
2000-01-05 13:35:00,11.98,11.98,11.96,11.96,2800,33512
2000-01-05 13:40:00,11.96,11.96,11.9,11.91,16400,195372
2000-01-05 13:45:00,11.91,11.91,11.9,11.91,4600,54772
2000-01-05 13:50:00,11.9,11.9,11.9,11.9,7400,88060
2000-01-05 13:55:00,11.91,11.91,11.84,11.84,15200,180164
2000-01-05 14:00:00,11.84,11.84,11.8,11.8,26800,316690
2000-01-05 14:05:00,11.8,11.8,11.8,11.8,8400,99120
2000-01-05 14:10:00,11.8,11.85,11.8,11.85,1600,18902
2000-01-05 14:15:00,11.84,11.84,11.83,11.83,1200,14198
2000-01-05 14:20:00,11.82,11.82,11.8,11.8,11900,140638
2000-01-05 14:25:00,11.81,11.81,11.8,11.81,6000,70840
2000-01-05 14:30:00,11.81,11.82,11.81,11.82,5300,63045
2000-01-05 14:35:00,11.8,11.8,11.8,11.8,6600,79075
2000-01-05 14:40:00,11.82,11.83,11.81,11.81,2700,31913
2000-01-05 14:45:00,11.81,11.81,11.81,11.81,1200,14180
2000-01-05 14:50:00,11.81,11.81,11.8,11.81,3400,40145
2000-01-05 14:55:00,11.81,11.82,11.8,11.82,4900,57850
2000-01-05 15:00:00,11.82,11.83,11.82,11.82,2300,27189
2000-01-06 09:35:00,11.75,11.75,11.75,11.75,1000,11755
2000-01-06 09:40:00,11.75,11.76,11.73,11.76,1700,19957
2000-01-06 09:45:00,11.76,11.76,11.72,11.73,1300,15250
2000-01-06 09:50:00,11.74,11.75,11.73,11.75,3000,35239
2000-01-06 09:55:00,11.75,11.85,11.75,11.81,2800,33086
2000-01-06 10:00:00,11.82,11.82,11.82,11.82,200,2364
2000-01-06 10:05:00,11.81,11.81,11.72,11.72,22300,262107
2000-01-06 10:10:00,11.75,11.8,11.75,11.8,1500,17640
2000-01-06 10:15:00,11.8,11.81,11.75,11.76,3700,43588
2000-01-06 10:20:00,11.75,11.82,11.75,11.82,5600,66089
2000-01-06 10:25:00,11.84,11.85,11.84,11.85,24000,284369
2000-01-06 10:30:00,11.9,11.91,11.9,11.91,800,9522
2000-01-06 10:35:00,11.91,11.91,11.9,11.9,1800,21404
