timestamps,open,high,low,close,volume,amount
2025-01-22 09:35:00,33.35,33.35,27.81,28.01,7508000,225673500
2025-01-22 09:40:00,28.0,29.08,27.93,28.3,3470300,98591600
2025-01-22 09:45:00,28.5,28.5,28.01,28.01,2519100,71052000
2025-01-22 09:50:00,28.0,28.25,27.98,28.05,2450200,68774900
2025-01-22 09:55:00,28.09,28.09,27.35,27.36,2150500,59652600
2025-01-22 10:00:00,27.35,27.95,27.17,27.38,1752400,48096430
2025-01-22 10:05:00,27.37,27.67,27.2,27.22,1587500,43533320
2025-01-22 10:10:00,27.22,27.22,27.01,27.09,1486500,40266000
2025-01-22 10:15:00,27.1,27.56,27.09,27.5,921700,25270890
2025-01-22 10:20:00,27.5,27.99,27.49,27.99,948600,26363890
2025-01-22 10:25:00,27.98,28.58,27.98,28.45,1538500,43599360
2025-01-22 10:30:00,28.45,30.0,28.4,29.13,2000100,58203340
2025-01-22 10:35:00,29.1,29.27,28.16,28.55,1131400,32472110
2025-01-22 10:40:00,28.53,28.55,28.1,28.13,821500,23237310
2025-01-22 10:45:00,28.09,28.35,27.88,28.35,498400,13963540
2025-01-22 10:50:00,28.35,28.5,28.0,28.08,465100,13091560
2025-01-22 10:55:00,28.09,28.09,27.82,27.82,461000,12905620
2025-01-22 11:00:00,27.82,27.82,27.55,27.56,470400,13014720
2025-01-22 11:05:00,27.56,27.63,27.48,27.52,566300,15603520
2025-01-22 11:10:00,27.54,27.6,27.4,27.43,431600,11858712
2025-01-22 11:15:00,27.47,27.47,27.12,27.4,610100,16651420
2025-01-22 11:20:00,27.41,27.47,27.28,27.4,381600,10454560
2025-01-22 11:25:00,27.4,27.48,27.33,27.4,386100,10581670
2025-01-22 11:30:00,27.4,27.48,27.3,27.3,398400,10911040
2025-01-22 13:05:00,27.31,27.34,27.21,27.28,945600,25789690
2025-01-22 13:10:00,27.28,27.42,27.28,27.33,537400,14688730
2025-01-22 13:15:00,27.33,27.35,27.29,27.3,426200,11642240
2025-01-22 13:20:00,27.3,27.31,27.17,27.18,723900,19723620
2025-01-22 13:25:00,27.18,27.2,27.17,27.2,667700,18157360
2025-01-22 13:30:00,27.23,27.76,27.2,27.64,560800,15406090
2025-01-22 13:35:00,27.64,28.01,27.41,28.0,773000,21485140
2025-01-22 13:40:00,28.02,28.02,27.4,27.4,408200,11263370
2025-01-22 13:45:00,27.4,27.4,27.24,27.29,348400,9515300
2025-01-22 13:50:00,27.28,27.36,27.22,27.25,379400,10351420
2025-01-22 13:55:00,27.27,27.3,27.21,27.23,354300,9647130
2025-01-22 14:00:00,27.24,27.25,27.21,27.22,309900,8438220
2025-01-22 14:05:00,27.22,27.53,27.21,27.53,455500,12442190
2025-01-22 14:10:00,27.53,27.7,27.46,27.52,411300,11333030
2025-01-22 14:15:00,27.52,27.52,27.28,27.45,293400,8030490
2025-01-22 14:20:00,27.42,27.42,27.29,27.3,326500,8922670
2025-01-22 14:25:00,27.3,27.3,27.18,27.21,572700,15582190
2025-01-22 14:30:00,27.21,27.24,27.18,27.24,492900,13411570
2025-01-22 14:35:00,27.21,27.69,27.21,27.69,443300,12149330
2025-01-22 14:40:00,27.7,28.0,27.23,27.25,686600,19042130
2025-01-22 14:45:00,27.26,27.34,27.24,27.27,493800,13475380
2025-01-22 14:50:00,27.26,27.29,27.21,27.27,640300,17453800
