timestamps,open,high,low,close,volume,amount
2020-01-02 09:35:00,5.18,5.23,5.17,5.23,86388000,448753100.0
2020-01-02 09:40:00,5.23,5.28,5.21,5.27,62781000,329301300.0
2020-01-02 09:45:00,5.27,5.27,5.22,5.24,28975000,152110400.0
2020-01-02 09:50:00,5.23,5.25,5.23,5.23,16194000,84808620.0
2020-01-02 09:55:00,5.23,5.24,5.21,5.23,15845000,82778580.0
2020-01-02 10:00:00,5.23,5.24,5.23,5.24,11516000,60309910.0
2020-01-02 10:05:00,5.23,5.25,5.23,5.24,12371000,64815110.0
2020-01-02 10:10:00,5.24,5.24,5.2,5.21,19485000,101550200.0
2020-01-02 10:15:00,5.2,5.22,5.2,5.21,6734000,35080360.0
2020-01-02 10:20:00,5.21,5.21,5.19,5.2,25386000,131783090.0
2020-01-02 10:25:00,5.19,5.2,5.18,5.2,10583000,54944250.0
2020-01-02 10:30:00,5.2,5.21,5.19,5.21,8237000,42877890.0
2020-01-02 10:35:00,5.21,5.23,5.21,5.23,8782000,45798830.0
2020-01-02 10:40:00,5.23,5.23,5.22,5.22,6875000,35906050.0
2020-01-02 10:45:00,5.22,5.23,5.21,5.23,5295000,27661150.0
2020-01-02 10:50:00,5.22,5.23,5.2,5.21,6911000,36050430.0
2020-01-02 10:55:00,5.21,5.21,5.2,5.21,5845000,30434480.0
2020-01-02 11:00:00,5.21,5.22,5.2,5.21,3894000,20282440.0
2020-01-02 11:05:00,5.22,5.23,5.21,5.23,7859000,41077340.0
2020-01-02 11:10:00,5.23,5.23,5.21,5.22,3021000,15776620.0
2020-01-02 11:15:00,5.22,5.23,5.21,5.23,3662000,19128450.0
2020-01-02 11:20:00,5.23,5.23,5.22,5.23,2640000,13795910.0
2020-01-02 11:25:00,5.22,5.23,5.2,5.21,5961000,31105840.0
2020-01-02 11:30:00,5.22,5.22,5.2,5.21,3375000,17594410.0
2020-01-02 13:05:00,5.21,5.22,5.21,5.22,6924000,36104940.0
2020-01-02 13:10:00,5.22,5.23,5.21,5.22,6368000,33244280.0
2020-01-02 13:15:00,5.22,5.22,5.2,5.2,5355000,27903090.0
2020-01-02 13:20:00,5.2,5.21,5.19,5.19,5834000,30340670.0
2020-01-02 13:25:00,5.19,5.21,5.19,5.2,4090000,21273500.0
2020-01-02 13:30:00,5.21,5.21,5.2,5.2,4766000,24802470.0
2020-01-02 13:35:00,5.2,5.21,5.19,5.19,11076000,57522460.0
2020-01-02 13:40:00,5.19,5.19,5.18,5.19,2978000,15440370.0
2020-01-02 13:45:00,5.19,5.2,5.18,5.19,8958000,46490630.0
2020-01-02 13:50:00,5.19,5.2,5.17,5.17,13599000,70509010.0
2020-01-02 13:55:00,5.18,5.2,5.18,5.2,9337000,48417910.0
2020-01-02 14:00:00,5.19,5.2,5.19,5.2,1637000,8501600.0
2020-01-02 14:05:00,5.2,5.2,5.19,5.19,2887000,15003290.0
2020-01-02 14:10:00,5.19,5.2,5.18,5.19,8694000,45130720.0
2020-01-02 14:15:00,5.19,5.2,5.18,5.2,3884000,20170470.0
2020-01-02 14:20:00,5.19,5.2,5.18,5.2,3162000,16418940.0
2020-01-02 14:25:00,5.19,5.2,5.19,5.19,5532000,28748420.0
2020-01-02 14:30:00,5.2,5.2,5.18,5.2,11881000,61695340.0
2020-01-02 14:35:00,5.19,5.21,5.18,5.21,6223000,32360790.0
2020-01-02 14:40:00,5.21,5.21,5.19,5.21,3830000,19926250.0
2020-01-02 14:45:00,5.2,5.21,5.19,5.19,10657000,55449110.0
2020-01-02 14:50:00,5.2,5.2,5.18,5.19,9903000,51429330.0
2020-01-02 14:55:00,5.19,5.2,5.18,5.19,9011000,46770930.0
2020-01-02 15:00:00,5.19,5.2,5.18,5.19,8319000,43165490.0
2020-01-03 09:35:00,5.21,5.23,5.18,5.18,22842000,118992200.0
2020-01-03 09:40:00,5.18,5.19,5.16,5.16,13705000,70876910.0
2020-01-03 09:45:00,5.16,5.18,5.16,5.17,20346000,105086600.0
2020-01-03 09:50:00,5.18,5.19,5.17,5.18,5373000,27825000.0
2020-01-03 09:55:00,5.18,5.18,5.17,5.17,3349000,17334590.0
2020-01-03 10:00:00,5.18,5.2,5.17,5.18,8643000,44807340.0
2020-01-03 10:05:00,5.19,5.19,5.18,5.18,3276000,16982140.0
2020-01-03 10:10:00,5.18,5.22,5.18,5.22,9003000,46864000.0
2020-01-03 10:15:00,5.21,5.21,5.2,5.2,5904000,30718070.0
2020-01-03 10:20:00,5.2,5.2,5.18,5.19,5611000,29127390.0
2020-01-03 10:25:00,5.19,5.2,5.18,5.19,5603000,29078530.0
2020-01-03 10:30:00,5.19,5.2,5.18,5.18,3441000,17858850.0
2020-01-03 10:35:00,5.19,5.19,5.18,5.18,3757000,19468620.0
2020-01-03 10:40:00,5.18,5.19,5.16,5.17,9861000,51010430.0
2020-01-03 10:45:00,5.17,5.17,5.15,5.16,13496000,69628860.0
2020-01-03 10:50:00,5.16,5.17,5.13,5.15,26550000,136696580.0
2020-01-03 10:55:00,5.16,5.16,5.14,5.16,12544000,64567290.0
2020-01-03 11:00:00,5.16,5.16,5.13,5.15,17354000,89249310.0
2020-01-03 11:05:00,5.16,5.16,5.14,5.14,9995000,51469530.0
2020-01-03 11:10:00,5.14,5.16,5.14,5.14,16760000,86208220.0
2020-01-03 11:15:00,5.15,5.17,5.14,5.14,21101000,108798740.0
2020-01-03 11:20:00,5.15,5.15,5.13,5.14,6820000,35045870.0
2020-01-03 11:25:00,5.14,5.15,5.13,5.13,10525000,54076330.0
2020-01-03 11:30:00,5.15,5.15,5.13,5.14,5467000,28102520.0
2020-01-03 13:05:00,5.14,5.14,5.12,5.13,9137000,46900380.0
2020-01-03 13:10:00,5.13,5.14,5.13,5.13,2448000,12562410.0
2020-01-03 13:15:00,5.14,5.14,5.12,5.12,9037000,46319420.0
2020-01-03 13:20:00,5.12,5.13,5.1,5.13,33240000,169845600.0
2020-01-03 13:25:00,5.11,5.13,5.11,5.13,7312000,37478400.0
2020-01-03 13:30:00,5.12,5.13,5.12,5.13,3444000,17649890.0
2020-01-03 13:35:00,5.13,5.13,5.12,5.13,3070000,15732060.0
2020-01-03 13:40:00,5.12,5.15,5.12,5.14,7205000,36967030.0
2020-01-03 13:45:00,5.13,5.15,5.13,5.15,4090000,21020430.0
2020-01-03 13:50:00,5.15,5.15,5.14,5.14,3050000,15689000.0
2020-01-03 13:55:00,5.14,5.15,5.13,5.14,4938000,25358200.0
2020-01-03 14:00:00,5.13,5.15,5.13,5.13,2604000,13388070.0
2020-01-03 14:05:00,5.15,5.15,5.13,5.13,3939000,20223000.0
2020-01-03 14:10:00,5.13,5.14,5.12,5.12,4397000,22563290.0
2020-01-03 14:15:00,5.13,5.14,5.12,5.13,10045000,51539670.0
2020-01-03 14:20:00,5.14,5.15,5.13,5.13,8043000,41282770.0
2020-01-03 14:25:00,5.13,5.15,5.13,5.14,10984000,56382490.0
2020-01-03 14:30:00,5.14,5.15,5.13,5.13,10718000,55028800.0
2020-01-03 14:35:00,5.14,5.15,5.13,5.13,11164000,57306710.0
2020-01-03 14:40:00,5.13,5.14,5.12,5.13,11566000,59255810.0
2020-01-03 14:45:00,5.12,5.13,5.12,5.12,2779000,14239310.0
2020-01-03 14:50:00,5.13,5.13,5.11,5.12,13762000,70455980.0
2020-01-03 14:55:00,5.12,5.12,5.1,5.12,18376000,93932810.0
