timestamps,open,high,low,close,volume,amount
2025-01-02 09:35:00,58.08,58.18,56.8,57.16,132300,7580300.0
2025-01-02 09:40:00,57.32,58.1,57.3,57.86,38300,2209328.0
2025-01-02 09:45:00,57.91,57.91,57.48,57.8,21400,1230000.0
2025-01-02 09:50:00,57.87,57.93,57.6,57.88,23400,1352789.0
2025-01-02 09:55:00,57.77,58.2,57.77,58.18,24900,1447432.0
2025-01-02 10:00:00,58.12,58.18,57.86,57.86,16300,946776.0
2025-01-02 10:05:00,57.86,58.06,57.82,57.82,11000,638110.0
2025-01-02 10:10:00,57.8,58.05,57.79,58.05,19000,1098230.0
2025-01-02 10:15:00,58.04,58.04,57.66,57.81,25100,1449389.0
2025-01-02 10:20:00,57.75,57.85,57.64,57.64,14500,842094.0
2025-01-02 10:25:00,57.76,58.0,57.76,57.88,14900,862344.0
2025-01-02 10:30:00,57.88,58.25,57.88,58.03,23100,1342229.0
2025-01-02 10:35:00,58.03,58.18,58.03,58.09,11100,644289.0
2025-01-02 10:40:00,58.14,58.3,58.14,58.27,18100,1054070.0
2025-01-02 10:45:00,58.2,58.22,58.04,58.13,8700,505506.0
2025-01-02 10:50:00,58.11,58.58,58.11,58.58,27000,1576107.0
2025-01-02 10:55:00,58.59,58.88,58.52,58.83,29600,1737362.0
2025-01-02 11:00:00,58.83,58.83,58.51,58.51,17300,1015069.0
2025-01-02 11:05:00,58.51,58.67,58.21,58.28,9300,545881.0
2025-01-02 11:10:00,58.28,58.48,58.24,58.24,3700,215727.0
2025-01-02 11:15:00,58.34,58.35,58.09,58.11,5200,302627.0
2025-01-02 11:20:00,58.12,58.18,58.05,58.05,6100,354608.0
2025-01-02 11:25:00,58.05,58.1,58.0,58.1,4100,238412.0
2025-01-02 11:30:00,58.13,58.18,58.08,58.18,2500,145361.0
2025-01-02 13:05:00,58.17,58.32,58.03,58.28,2400,139837.0
2025-01-02 13:10:00,58.03,58.22,57.91,57.91,6900,399794.0
2025-01-02 13:15:00,57.91,58.0,57.91,58.0,4100,237702.0
2025-01-02 13:20:00,57.94,57.94,57.7,57.7,9700,560551.0
2025-01-02 13:25:00,57.62,57.7,57.47,57.57,21800,1255558.0
2025-01-02 13:30:00,57.64,57.67,57.28,57.5,20100,1153968.0
2025-01-02 13:35:00,57.66,57.8,57.66,57.68,7800,450163.0
2025-01-02 13:40:00,57.8,57.8,57.39,57.39,7200,413849.0
2025-01-02 13:45:00,57.38,57.48,57.32,57.33,12400,709500.0
2025-01-02 13:50:00,57.39,57.39,57.19,57.19,11400,654699.0
2025-01-02 13:55:00,57.18,57.18,57.0,57.02,13000,741998.0
2025-01-02 14:00:00,57.05,57.15,56.97,57.15,29000,1654259.0
2025-01-02 14:05:00,57.2,57.2,56.9,56.9,37700,2152714.0
2025-01-02 14:10:00,56.92,56.92,56.52,56.64,41800,2367018.0
2025-01-02 14:15:00,56.64,57.05,56.64,56.9,9100,517751.0
2025-01-02 14:20:00,56.68,56.68,56.3,56.51,33600,1898032.0
